YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1961,0.89,5.69,7.09,12.29,12.19,17.19,16.69,17.79,17.79,11.39,4.39,0.77,3.44,10.52,17.22,11.19,10.60
1962,3.17,1.87,1.97,10.17,11.67,16.87,17.37,18.27,14.07,9.57,3.07,-2.64,1.94,7.94,17.50,8.90,9.07
1963,-5.74,-3.94,3.86,10.36,13.86,17.16,20.16,17.46,15.36,8.36,8.26,-2.46,-4.11,9.36,18.26,10.66,8.54
1964,-2.16,2.54,2.84,10.24,15.64,19.14,20.94,18.44,15.04,8.34,6.44,1.52,-0.69,9.57,19.51,9.94,9.58
1965,2.62,0.22,4.62,8.42,13.42,17.52,16.82,16.52,13.42,8.62,3.12,4.31,1.45,8.82,16.95,8.39,8.90
1966,-1.09,6.61,4.81,11.01,15.11,18.21,16.81,17.51,15.11,12.21,3.01,3.59,3.28,10.31,17.51,10.11,10.30
1967,2.19,4.39,6.79,8.89,14.29,16.89,20.89,18.09,14.69,12.09,4.09,1.07,3.39,9.99,18.62,10.29,10.57
1968,0.27,2.27,5.77,10.57,12.77,17.27,18.27,17.47,14.77,11.07,4.17,-0.34,1.20,9.70,17.67,10.00,9.64
1969,2.16,-0.84,3.96,8.86,14.66,16.16,20.56,18.06,15.16,9.76,6.06,-2.76,0.33,9.16,18.26,10.33,9.52
1970,-0.66,0.94,3.44,7.54,13.54,18.94,17.54,18.84,14.84,10.64,6.54,1.12,-0.83,8.17,18.44,10.67,9.12
1971,-0.68,2.92,2.82,10.92,16.32,15.42,20.32,19.42,14.02,9.42,4.52,4.11,1.12,10.02,18.39,9.32,9.71
1972,-0.39,3.71,7.01,9.31,13.01,15.81,19.71,17.81,12.41,8.01,4.61,0.69,2.48,9.78,17.78,8.34,9.59
1973,0.89,2.09,5.79,7.39,14.39,18.59,19.29,20.39,16.19,8.79,4.39,1.07,1.22,9.19,19.42,9.79,9.91
1974,4.67,4.67,7.57,10.67,13.07,16.27,17.07,18.87,14.67,6.47,5.77,6.06,3.47,10.44,17.40,8.97,10.07
1975,5.26,2.56,5.06,8.96,13.36,16.96,20.46,20.76,16.66,8.36,4.26,1.74,4.63,9.13,19.39,9.76,10.73
1976,3.24,1.84,3.84,9.04,15.14,20.94,22.24,19.14,14.44,10.84,6.04,0.02,2.27,9.34,20.77,10.44,10.71
1977,2.32,5.12,7.82,7.52,13.52,17.02,18.82,17.62,13.72,10.82,6.22,2.61,2.49,9.62,17.82,10.25,10.04
1978,2.21,0.71,6.81,9.21,13.01,16.51,17.51,17.01,14.31,9.71,4.01,2.19,1.84,9.68,17.01,9.34,9.47
1979,-3.71,0.49,6.09,8.09,13.69,18.59,18.19,16.89,15.39,10.49,4.69,5.27,-0.34,9.29,17.89,10.19,9.26
1980,-0.13,4.37,5.97,8.27,12.97,15.97,16.37,18.47,15.37,8.77,3.87,1.36,3.17,9.07,16.94,9.34,9.63
1981,-0.74,0.66,8.66,11.06,14.26,16.96,18.06,18.16,15.56,9.16,5.96,-0.36,0.43,11.33,17.73,10.23,9.93
1982,-1.56,0.94,5.74,8.64,13.84,18.24,21.14,18.94,17.34,10.34,6.84,3.22,-0.33,9.41,19.44,11.51,10.01
1983,4.72,0.02,6.12,10.22,11.82,18.22,22.62,20.72,15.02,9.92,3.72,1.70,2.65,9.39,20.52,9.55,10.53
1984,2.50,1.80,4.00,8.30,11.50,15.50,18.20,18.80,13.70,11.10,5.80,2.49,2.00,7.93,17.50,10.20,9.41
1985,-3.61,-2.31,4.79,9.59,14.99,14.89,19.09,17.69,15.49,9.79,1.59,4.37,-1.14,9.79,17.22,8.96,8.71
1986,1.97,-4.13,4.87,7.67,15.67,18.37,18.97,18.17,12.37,10.77,6.17,3.25,0.74,9.40,18.50,9.77,9.60
1987,-4.15,1.15,1.95,11.15,11.25,15.55,18.65,17.45,16.25,10.15,5.75,2.94,0.08,8.12,17.22,10.72,9.03
1988,4.54,3.14,4.74,9.74,15.74,17.04,18.44,19.34,14.64,11.14,3.84,4.92,3.54,10.07,18.27,9.87,10.44
1989,3.02,3.82,8.62,8.22,16.12,17.02,19.72,18.62,15.82,11.32,3.22,3.30,3.92,10.99,18.45,10.12,10.87
1990,3.20,6.60,8.40,9.10,16.00,16.70,19.30,20.70,13.40,11.20,5.70,1.69,4.37,11.17,18.90,10.10,11.13
1991,2.59,-1.21,8.09,8.99,11.79,15.09,21.49,20.99,16.99,8.99,4.69,0.97,1.02,9.62,19.19,10.22,10.01
1992,1.97,3.27,6.57,9.77,16.47,18.37,20.47,20.77,14.47,7.77,6.67,2.25,2.07,10.94,19.87,9.64,10.63
1993,3.75,-0.15,5.55,12.45,16.15,18.35,18.85,18.55,13.85,8.95,1.75,4.64,1.95,11.38,18.58,8.18,10.02
1994,4.14,1.74,8.44,9.74,14.24,18.64,23.54,19.44,14.74,9.04,8.94,4.92,3.51,10.81,20.54,10.91,11.44
1995,1.72,5.82,4.62,10.82,14.02,16.52,22.32,20.32,13.82,12.82,4.02,0.30,4.15,9.82,19.72,10.22,10.98
1996,-0.90,0.30,3.60,10.30,12.50,17.80,17.80,18.60,12.80,10.20,5.60,-0.91,-0.10,8.80,18.07,9.53,9.07
1997,-2.71,5.39,8.49,8.79,14.49,17.29,18.99,21.69,15.59,8.99,5.19,3.67,0.59,10.59,19.32,9.92,10.11
1998,3.27,4.77,7.37,9.87,16.07,18.57,18.17,19.37,14.47,9.97,2.97,2.25,3.90,11.10,18.70,9.14,10.71
1999,3.65,2.05,6.95,10.75,15.65,17.35,20.95,18.95,18.35,9.95,4.35,3.37,2.65,11.12,19.08,10.88,10.93
2000,2.67,5.07,7.37,11.57,16.27,19.17,16.47,19.67,15.27,11.07,7.27,4.08,3.70,11.74,18.44,11.20,11.27
2001,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2002,999.90,999.90,999.90,9.90,14.40,999.90,18.90,19.80,14.30,10.10,7.80,2.91,999.90,10.05,18.80,10.73,10.44
2003,1.01,0.21,8.11,10.61,15.51,21.71,20.91,23.51,15.51,7.71,7.01,2.83,1.38,11.41,22.04,10.08,11.23
2004,1.83,4.03,5.63,11.43,13.13,17.43,18.83,19.93,15.83,11.13,5.33,1.24,2.90,10.06,18.73,10.76,10.61
2005,3.04,0.54,6.34,11.44,14.64,18.94,20.14,17.84,17.14,12.24,5.44,2.05,1.61,10.81,18.97,11.61,10.75
2006,-0.75,1.35,3.65,10.05,14.85,18.65,23.85,16.55,18.35,13.25,8.15,4.57,0.88,9.52,19.68,13.25,10.83
2007,5.97,5.67,7.57,14.17,15.97,18.77,18.47,18.17,13.87,9.77,4.77,1.98,5.40,12.57,18.47,9.47,11.48
2008,4.68,4.18,5.88,8.78,17.18,18.98,19.98,19.08,13.48,9.88,6.28,1.80,3.61,10.61,19.35,9.88,10.86
2009,-2.00,2.20,6.00,14.00,15.60,17.10,19.70,20.80,16.40,9.90,8.40,2.01,0.67,11.87,19.20,11.57,10.82
2010,-1.79,1.61,6.31,11.01,12.21,18.71,22.11,18.11,13.81,9.41,6.81,-1.67,0.61,9.84,19.64,10.01,10.03
2011,2.53,2.93,7.53,13.93,16.23,18.43,17.63,19.43,16.93,10.63,5.33,5.04,1.26,12.56,18.50,10.96,10.82
2012,3.64,-0.86,8.94,9.94,16.54,17.24,19.34,20.74,15.14,9.74,6.34,3.76,2.61,11.81,19.11,10.41,10.98
2013,1.76,1.06,2.76,10.26,12.96,17.76,22.26,19.86,15.36,11.96,5.76,4.47,2.19,8.66,19.96,11.03,10.46
2014,4.67,5.67,8.87,13.57,14.27,18.57,21.07,17.47,16.57,12.87,7.47,3.89,4.94,12.24,19.04,12.30,12.13
2015,3.09,2.19,6.79,10.49,14.49,18.09,22.29,21.69,14.59,9.79,8.19,7.20,3.06,10.59,20.69,10.86,11.30
2016,3.30,4.80,5.60,9.50,15.10,18.00,20.50,19.80,18.80,9.80,5.30,2.50,5.10,10.07,19.43,11.30,11.47
2017,-0.90,5.20,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,2.27,999.90,999.90,999.90,999.90
